time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,xdes_x,xdes_y,xdes_z,roll,pitch,yaw
0.146,3.92926943469664e-11,-6.288620952040126e-11,0.4944787129265993,2.7400686711564527e-08,-4.3853507444330325e-08,-0.09017108255161238,-0.0011004,0.0016053723,0.49425554,-0.0002638311364266954,0.02112867768531146,0.024512721628408674
0.148,0.0014390110797861087,-0.002044598077671163,0.5778690270265571,0.03430186216578549,-0.046072930162283185,1.593725962768751,0.0009200664,6.679399e-05,0.5947165,-0.00026606572289766817,0.021378387560516465,0.024639659444233963
0.158,0.0018075780050465925,-0.0025346782563481465,0.5944561029871913,0.0007110959049137169,-0.008525850109748592,1.7027218624288314,0.0025644326,0.0023619737,0.6141083,-0.0002732571694852304,0.02257187439384234,0.0250920033009141
0.169,0.0021714612995477147,-0.003011880863316762,0.6099937534368198,0.04163500343504512,-0.0543355862596332,1.7396819838316337,0.003325108,0.003382855,0.63102305,-0.0002535205499065718,0.023538981001760106,0.024415100049186567
0.177,0.002601327721969181,-0.0035693678574741663,0.6274278241667175,0.04398921113453966,-0.05676654042445138,1.7416625857524686,0.0025139744,0.004905286,0.65113765,-0.00021219350646672908,0.023927683403521804,0.022831516170763955
0.188,0.0030976130975668517,-0.0042054312007729,0.6464570535377511,0.04598699457936941,-0.05859810192935026,1.717128309263834,0.005364053,0.0054053226,0.6704561,-0.0001224197286990858,0.02407914227549668,0.01932437901408246
0.198,0.0035659447025566445,-0.004798068220188487,0.6634408325040003,0.047493024224437595,-0.05974755182749021,1.6817163292735224,0.004019326,0.0049482547,0.68871146,-2.229523349228657e-05,0.023973289380720075,0.015346323974077425
0.209,0.004048349929168917,-0.00540019860383861,0.6800310318219703,0.009704412341845103,-0.040708241389304685,1.6410997622157228,0.00562563,0.0048392103,0.7057504,8.701725081294853e-05,0.02380821226105212,0.010940951038543645
0.218,0.004543696710264855,-0.006008906487609481,0.6961838801132866,0.012174649784889994,-0.04758218033343909,1.5962123666676742,0.005482099,0.005631784,0.7223091,0.0001636280951906599,0.02375967560471226,0.0078453181347089
0.227,0.005000239334323843,-0.006560625428337903,0.7103350991864867,0.051228344517287916,-0.06144436596188243,1.5542527473677152,0.006210529,0.0046171313,0.7382947,0.00022851122295364235,0.02385507295961986,0.0052622289379531395
