time,q1,q2,q3,q4,q5,q6,q7,ee_pos_x,ee_pos_y,ee_pos_z,ee_vel_0,ee_vel_1,ee_vel_2,ee_rpy_roll,ee_rpy_pitch,ee_rpy_yaw,ee_target_pos_x,ee_target_pos_y,ee_target_pos_z,ee_target_quat_x,ee_target_quat_y,ee_target_quat_z,ee_target_quat_w,stage_cost,terminal_cost,joint_limit_cost
2.985,1.569160687124545,1.7804691024926615,-5.885463134092106e-05,4.468929346193078,-0.002569533236977506,4.684264059217658,0.003260139666024564,0.11200516020202358,0.5629235237616463,2.026041586654989,0.10078896513340263,0.026765500554384293,-0.05720415997497984,-1.5372482771126328,-0.005691845616672797,1.1201469276774332,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,1007.231201171875,27.453510284423828,0.0
2.989,1.5691983841278132,1.7870179558537203,-0.0002271459402880538,4.473261490886276,-0.0026994826726234322,4.681532736704969,0.0033802840090659814,0.11828841379448762,0.5588788308727624,2.0224237786984567,-0.07203288521448092,0.026366721439827545,-0.05674527202502226,-1.537418945952234,-0.005315396224856439,1.1468709389967553,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,732.6834106445312,12.942326545715332,0.0
2.999,1.5692205683995244,1.7926084588820679,-0.000494515558807862,4.474204676199273,-0.0029898501353606832,4.6774349693943025,0.0032164607002949097,0.1191225182377761,0.5588831712435054,2.0197397230184326,-0.4050044841242207,0.026507928475846355,-0.05669427057129712,-1.538138663223721,-0.00532057499877725,1.145779874638887,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,967.3942260742188,26.213329315185547,0.0
3.009,1.569129954677308,1.7920619629077557,-0.00048122888227908334,4.472115190072614,-0.003164754193831776,4.674884626300249,0.002932518194692868,0.1199568539090027,0.5587424313876657,2.018962184914757,-0.41792283052237406,0.02985667157040036,-0.057702901784175024,-1.5389906710517267,-0.005566450616098173,1.1426500521125902,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,1007.5957641601562,27.938127517700195,0.0
3.019,1.5689602561976006,1.7919539076022986,-0.00024291501086626255,4.471269938644286,-0.0032826506449739057,4.674547696927921,0.002570230284899999,0.12074538619396619,0.5583074677658256,2.01875243121226,-0.2808669899395284,0.03502094583632873,-0.05890437282490999,-1.5398283296806456,-0.0061405490914507865,1.1390288794866437,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,1023.8009033203125,28.961294174194336,0.0
3.029,1.5687510390968953,1.7931988528800815,4.854415277311119e-05,4.472048904154696,-0.0036297894590342494,4.676067577870212,0.0024069365570715817,0.12149244557048688,0.5576745771164872,2.018595525632141,-0.137404418810608,0.04000012518780795,-0.059693408719018806,-1.54049361457667,-0.0066271887573869925,1.13500509281244,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,1033.2017822265625,29.687278747558594,0.0
3.039,1.5685383495098257,1.7948414790633969,0.0004079690348630649,4.473363059521938,-0.003952790594133226,4.678407567524746,0.002205218951469412,0.12219286713068897,0.5569809878950233,2.0186867810222324,-0.03279805387547145,0.0438352549667788,-0.06089823792857056,-1.5410838750902085,-0.007020438075772351,1.131235830524346,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,1039.3114013671875,29.995506286621094,0.0
3.048,1.5683988207068875,1.7960089873162808,0.0007314414148114068,4.474463363263089,-0.004292921754060153,4.680627874613503,0.001987796182448598,0.12283265073365383,0.5563137610935125,2.019210082955014,0.023374778134788263,0.04612567495665409,-0.06278037640077677,-1.5417260234433479,-0.007407142081673257,1.1282675497309054,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,1043.310302734375,30.076610565185547,0.0
3.059,1.5683042374045648,1.7966492426877991,0.0011661875944550815,4.475432968763331,-0.004650569981488495,4.682987098880159,0.0017755481060666156,0.12338841122612011,0.5556738533710912,2.020193585138637,0.051921505425416466,0.04812346028290505,-0.0633502465664823,-1.5423331348545763,-0.007624124536905086,1.1263510114911077,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,1043.9443359375,29.877655029296875,0.0
3.069,1.5682544733083859,1.7964658678418317,0.0015777854534606561,4.475852366737654,-0.004932744709438275,4.6845545346609585,0.001565485735913974,0.12387960044989856,0.5550714084688242,2.021547605237972,0.05884148717321713,0.04949418569244894,-0.0629460573371434,-1.5428601796058639,-0.00787855453323516,1.1255187519576908,0.10289999842643738,0.40549999475479126,1.6497999429702759,-0.5,-0.5,0.5,-0.5,1042.47216796875,29.557279586791992,0.0
