eef_pos_x,eef_pos_y,eef_pos_z,eef_vel_0,eef_vel_1,eef_vel_2,eef_rpy_roll,eef_rpy_pitch,eef_rpy_yaw,target_pos_x,target_pos_y,target_pos_z,target_rpy_roll,target_rpy_pitch,target_rpy_yaw,drone_pos_x,drone_pos_y,drone_pos_z
-0.009523690777155164,0.6421294786873069,2.060020833771361,-0.01319408455613386,-0.0002722392568362671,-0.00014140436496676268,-1.5709186149551313,-0.0005147294460696727,1.1237636132652487,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-3.393487443555431e-05,0.009216402758938667,2.1536680433000557
-0.009521075797684742,0.6419678786435663,2.0605099842841903,-0.018486384750769847,-0.00030132760044163787,-0.00012480777359535778,-1.570870099022218,-0.0005070062958667521,1.123739020565837,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-3.334389009361183e-05,0.009095436362748507,2.1541307555209106
-0.009515591939409884,0.6416246785898767,2.061590998412834,-0.03728771941936595,-0.00045988613416893075,-0.00013698070043238647,-1.5708135670785581,-0.0005066834961908739,1.1234947985870494,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-3.177200195874747e-05,0.008772554961768922,2.1552632304603647
-0.00950939147684853,0.6412391087467216,2.062748991488424,-0.03871846239449632,-0.0006137855021354069,-7.803985806335873e-05,-1.5708069724183111,-0.0005294572832608146,1.1228667408572943,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-3.0125036476502734e-05,0.008404359097623233,2.156390170125636
-0.009505969843622258,0.6410370832082988,2.063276388364764,-0.03547311594227928,-0.0006633897875895424,-7.701780829424889e-05,-1.5708034967955966,-0.0005345892518180406,1.122398372630483,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-2.9379409679522292e-05,0.008209182774998972,2.1569199762039593
-0.009500784443851471,0.6407542687722557,2.063919110508343,-0.030066246179436613,-0.0006819737097089653,-6.70268702536609e-05,-1.5708050371531326,-0.000538723784110573,1.1216390889856185,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-2.8405465272457934e-05,0.007933252080975884,2.1575894645847806
-0.009495273466443827,0.6405083339193223,2.064398239404748,-0.0260635882632608,-0.0006637594732813667,-5.154551749439388e-05,-1.57082418696747,-0.0005533840327256456,1.1208999206099102,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-2.7643163484288477e-05,0.007688020087232025,2.1581060418779225
-0.009489942139696667,0.6402221144542705,2.064866216470776,-0.021112189482762694,-0.0006401321764680272,-0.00023038707585796702,-1.570830840952172,-0.0005762707417646951,1.119962441452718,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-2.653741540666603e-05,0.00739257677523857,2.1586304783646457
-0.009488866358455108,0.6399540412537937,2.0652087580253773,-0.01757833682478581,-0.0006504175009988939,-0.0002606666713891826,-1.5707967662870645,-0.000614255080225945,1.1189957403565445,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-2.4906412543522972e-05,0.007102022278367925,2.15904304238875
-0.009489268180741719,0.6397930810095362,2.0653667688085164,-0.016096329924264942,-0.0006770930146327249,-0.0002381738219195412,-1.570773596098398,-0.0006551337609002061,1.1183758816945302,0.10289999842643738,0.40549999475479126,1.6497999429702759,-1.5707963267948966,0.0,1.5707963267948966,-2.3724908544266152e-05,0.0069202687573239555,2.1592477136599544
